x,y,periodo,fuente
-83.9532571,10.0480579,2024_2,Vivienda
-84.0411929,9.932062,2024_2,Vivienda
-85.07010009999999,9.6713187,2024_2,Vivienda
-84.0261245,9.9012344,2024_2,Vivienda
-84.0147195,9.9350432,2024_2,Vivienda
-84.0189402,9.9040577,2024_2,Vivienda
-84.01499290000001,9.9832874,2024_2,Vivienda
-84.0435284,9.9329367,2024_2,Vivienda
-84.0103965,9.9603055,2024_2,Vivienda
-83.91619349999999,9.8638091,2024_2,Vivienda
-83.9453168,9.8448839,2024_2,Vivienda
-84.0689357,9.9381156,2024_2,Vivienda
-84.0679451,9.9106354,2024_2,Vivienda
-83.7954561,10.245506,2024_2,Vivienda
-84.0478311,9.9620675,2024_2,Vivienda
-84.05465099999999,9.9512069,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-83.9274473,9.8869369,2024_2,Vivienda
-83.9880863,9.9060735,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.0172628,9.9649682,2024_2,Vivienda
-84.0536463,9.9466031,2024_2,Vivienda
-84.0382366,9.9484913,2024_2,Vivienda
-84.4715507,10.0859107,2024_2,Vivienda
-84.0423746,9.9280039,2024_2,Vivienda
-84.0441178,9.9213188,2024_2,Vivienda
-84.1619788,9.9487877,2024_2,Vivienda
-84.04710299999999,9.893046600000002,2024_2,Vivienda
-84.1555994,10.003768,2024_2,Vivienda
-84.0915115,9.8625258,2024_2,Vivienda
-83.8664076,9.839214,2024_2,Vivienda
-84.02929929999999,9.9165561,2024_2,Vivienda
-84.0147195,9.9350432,2024_2,Vivienda
-84.0228028,9.9438386,2024_2,Vivienda
-84.8158808,9.9803545,2024_2,Vivienda
-83.89652869999999,9.8718319,2024_2,Vivienda
-84.0567537,9.8946125,2024_2,Vivienda
-84.2,10.383333,2024_2,Vivienda
-84.05655209999999,9.9342461,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-83.97641039999999,9.9114431,2024_2,Vivienda
-84.1336192,9.9531618,2024_2,Vivienda
-84.0679451,9.9106354,2024_2,Vivienda
-83.99833579999999,9.9243064,2024_2,Vivienda
-85.4311094,10.6386153,2024_2,Vivienda
-84.01912,9.98201,2024_2,Vivienda
-84.0194758,9.9676432,2024_2,Vivienda
-84.01824479999999,9.9753803,2024_2,Vivienda
-83.8785308,9.8414655,2024_2,Vivienda
-84.0933652,9.8641706,2024_2,Vivienda
-84.0679451,9.9106354,2024_2,Vivienda
-84.0636523,9.9199447,2024_2,Vivienda
-84.0737352,9.8768018,2024_2,Vivienda
-83.8925206,9.8482767,2024_2,Vivienda
-84.0088103,9.9739072,2024_2,Vivienda
-83.920306,9.871034,2024_2,Vivienda
-83.99833579999999,9.9243064,2024_2,Vivienda
-84.1820735,9.9312697,2024_2,Vivienda
-84.05770799999999,9.9594759,2024_2,Vivienda
-84.2239276,10.0208428,2024_2,Vivienda
-84.08882539999999,9.898665,2024_2,Vivienda
-83.5096859,10.0981388,2024_2,Vivienda
-84.0814951,9.8972319,2024_2,Vivienda
-84.0458176,9.8688951,2024_2,Vivienda
-83.946045,9.841611,2024_2,Vivienda
-83.9025041,9.8440402,2024_2,Vivienda
-84.1604268,9.981497,2024_2,Vivienda
-84.0557369,9.9330574,2024_2,Vivienda
-84.0557264,9.9211952,2024_2,Vivienda
-83.7399216,10.3606813,2024_2,Vivienda
-83.9254615,9.8625864,2024_2,Vivienda
-83.8022149,9.825635,2024_2,Vivienda
-83.99833579999999,9.9243064,2024_2,Vivienda
-84.0458176,9.8688951,2024_2,Vivienda
-84.9713512,10.4563619,2024_2,Vivienda
-84.055129,10.0182399,2024_2,Vivienda
-83.75764629999999,10.327767,2024_2,Vivienda
-82.85262019999999,9.6257318,2024_2,Vivienda
-84.3176903,9.9617402,2024_2,Vivienda
-84.6691471,10.8504077,2024_2,Vivienda
-84.0536777,9.9000314,2024_2,Vivienda
-84.11118580000002,9.9263424,2024_2,Vivienda
-82.90914070000001,8.5641083,2024_2,Vivienda
-83.9945754,9.9404381,2024_2,Vivienda
-84.2199753,9.9887553,2024_2,Vivienda
-84.0855032,9.8568784,2024_2,Vivienda
-84.5194688,9.9120206,2024_2,Vivienda
-84.0470021,9.8988573,2024_2,Vivienda
-84.0298125,9.9109375,2024_2,Vivienda
-84.0719554,9.8904806,2024_2,Vivienda
-84.0814951,9.8972319,2024_2,Vivienda
-83.9885638,9.9886686,2024_2,Vivienda
-83.9995739,9.9726124,2024_2,Vivienda
-84.0576196,9.9108836,2024_2,Vivienda
-84.1045862,10.0083127,2024_2,Vivienda
-84.0907246,9.9280694,2024_2,Vivienda
-84.0127765,9.903056,2024_2,Vivienda
-83.6946703,9.3709799,2024_2,Vivienda
-84.01145439999999,10.0101333,2024_2,Vivienda
-84.0629919,9.8761455,2024_2,Vivienda
-84.0828458,9.8793771,2024_2,Vivienda
-84.18893750000001,9.9489078,2024_2,Vivienda
-84.02929929999999,9.9165561,2024_2,Vivienda
-84.0626298,9.9643666,2024_2,Vivienda
-85.0730685,9.6559706,2024_2,Vivienda
-83.9982517,9.8988004,2024_2,Vivienda
-84.01864719999999,9.9097116,2024_2,Vivienda
-84.0737352,9.8768018,2024_2,Vivienda
-84.0386633,9.9145505,2024_2,Vivienda
-84.0043481,9.9211523,2024_2,Vivienda
-84.0073228,9.9621746,2024_2,Vivienda
-83.8040745,9.5576447,2024_2,Vivienda
